Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Madurai Kamarj University Academics/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/a_MKU Self Finance Colleges""))",Chrome 125.0.0.0,,,13-06-2024 11:17:17,13-06-2024 11:17:18,0.827s,PASSED
"click(findTestObject(""Object Repository/Madurai Kamarj University Academics/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/font_Administration""))",Chrome 125.0.0.0,,,13-06-2024 11:17:18,13-06-2024 11:17:19,1.286s,PASSED
"click(findTestObject(""Object Repository/Madurai Kamarj University Academics/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/font_Academics""))",Chrome 125.0.0.0,,,13-06-2024 11:17:19,13-06-2024 11:17:19,0.361s,PASSED
"click(findTestObject(""Object Repository/Madurai Kamarj University Academics/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/a_MKU Constituent Colleges""))",Chrome 125.0.0.0,,,13-06-2024 11:17:19,13-06-2024 11:17:20,0.527s,PASSED
"click(findTestObject(""Object Repository/Madurai Kamarj University Academics/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/font_Academics""))",Chrome 125.0.0.0,,,13-06-2024 11:17:20,13-06-2024 11:17:21,1.121s,PASSED
"click(findTestObject(""Object Repository/Madurai Kamarj University Academics/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/a_MKU Self Finance Colleges""))",Chrome 125.0.0.0,,,13-06-2024 11:17:21,13-06-2024 11:17:21,0.585s,PASSED
"click(findTestObject(""Object Repository/Madurai Kamarj University Academics/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/font_Academics""))",Chrome 125.0.0.0,,,13-06-2024 11:17:21,13-06-2024 11:17:23,1.155s,PASSED
"click(findTestObject(""Object Repository/Madurai Kamarj University Academics/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/a_MKU Approved Institutions_1""))",Chrome 125.0.0.0,,,13-06-2024 11:17:23,13-06-2024 11:17:23,0.548s,PASSED
"click(findTestObject(""Object Repository/Madurai Kamarj University Academics/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/td_The Principal              Akilika Herba_a8e2f6""))",Chrome 125.0.0.0,,,13-06-2024 11:17:23,13-06-2024 11:17:24,1.166s,PASSED
"click(findTestObject(""Object Repository/Madurai Kamarj University Academics/Page_MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE/td_The Principal             Annai Fatima I_b37bd6""))",Chrome 125.0.0.0,,,13-06-2024 11:17:24,13-06-2024 11:17:25,0.581s,PASSED
